question,option1,option2,option3,option4,correct,category,hint
"The minimum size equipment grounding conductor for a 100 ampere, 120/240 volt single phase 3 AWG copper dwelling feeder whose ungrounded conductors have been increased in size to 1 AWG copper is:","2 AWG copper","4 AWG copper","6 AWG copper","8 AWG copper","4 AWG copper","Grounding and Bonding","Article 250"
"The continuity of the grounded conductor shall depend on:","Metallic enclosure","Metallic raceway","Wire or a busbar","Metallic cable armor","Wire or a busbar","General Electrical Knowledge","Article 200"
"Each multi-wire branch circuit shall be provided with a means that will ___ all ungrounded conductors at the point where the branch circuit originates:","Individually","Automatically","Simultaneously","Quickly","Simultaneously","Services, Feeders, Branch Circuits","Article 210"
"Balconies, decks and porches that are accessible from the inside of the dwelling unit shall have at least one receptacle located not more than ___ ft. above the balcony, deck, or porch surface:","6 1/2 ft","2 ft","4 ft","8 ft","6 1/2 ft","Electrical Calculations","Article 210"
"Where it is impracticable to locate the service head above the point of attachment, the service-head location shall be permitted not farther than ___ from the point of attachment:","400 mm","500 mm","600 mm","700 mm","600 mm","Services, Feeders, Branch Circuits","Article 230"
"Grounding conductors and bonding jumpers shall be connected by one of the following means:","Endothermic welding processes","Machine screw-type fasteners that engage not less than two threads","Thread-forming machine screws that engage less than two threads in the enclosure","Connection devices or fittings that depend solely on solder","Machine screw-type fasteners that engage not less than two threads","Grounding and Bonding","Article 250"
"Cables with entirely nonmetallic sheaths shall be permitted to enter the top of a surface-mounted enclosure through one or more:","Flexible raceways","Raceways more than 4.0 m in length","Raceways unsealed at the outer end","Nonflexible raceways not less than 450 mm and not more than 3.0 m in length","Nonflexible raceways not less than 450 mm and not more than 3.0 m in length","Conductors and Cables","Article 300"
"The maximum allowable overcurrent protection for four 14/2 NM cables installed in contact with thermal insulation without maintaining spacing between cables is:","17.5 ampere","20 ampere","15 ampere","10 ampere","15 ampere","Overcurrent Protection","Article 334"
"What kind of protection is required for an outdoor receptacle located under the soffit of a dwelling for holiday lighting?","GFCI","GFPE","AFCI","Standard 20-ampere breaker","GFCI","Special Equipment","Article 590"
"The minimum rating for a service disconnecting means for a building, other than a single family dwelling, consisting of three 2-wire circuits shall be:","15 amperes","30 amperes","60 amperes","100 amperes","60 amperes","Services, Feeders, Branch Circuits","Article 230"
"Where ungrounded conductors are increased in size, equipment grounding conductors shall:","Be sized per Table 250.122","Be increased in size proportionately","Be sized the same as the ungrounded conductors","Be sized per Table 250.66","Be increased in size proportionately","Grounding and Bonding","Article 250"
"Unless listed for the control of other loads, general use dimmer switches, shall ONLY be used to control:","Switched receptacles for cord connected incandescent luminaries","Permanently installed incandescent luminaries","A ceiling fan with luminaire","Holiday decorative lighting","Permanently installed incandescent luminaries","Special Occupancies","Article 404"
"In what areas of a dwelling shall 125-volt, single-phase, 15- and 20-ampere outlets not be required to be protected by an arc-fault circuit interrupter?","All bedroom receptacle outlets","All bathroom receptacle outlets","All living room receptacles outlets","All hallway receptacle outlets","All bathroom receptacle outlets","General Electrical Knowledge","Article 210"
"A ground ring encircling the building or structure, in direct contact with the earth, shall consist of at least 20 feet of bare copper conductor NOT smaller than:","6 AWG","4 AWG","2 AWG","1 AWG","2 AWG","Grounding and Bonding","Article 250"
"What is the minimum size copper equipment grounding conductor required for a 15-ampere branch circuit installed in rigid metal conduit that supplies a swimming pool pump motor?","14 AWG","12 AWG","10 AWG","16 AWG","12 AWG","Special Equipment","Article 680"
"The maximum allowable ampacity of 18 AWG fixture wire is:","12 amperes","10 amperes","8 amperes","6 amperes","6 amperes","General Electrical Knowledge","Article 402"
"The minimum overhead clearance above the water level of a swimming pool for network-powered broadband communications systems conductors shall be:","14 feet","22 1/2 feet","25 feet","27 feet","22 1/2 feet","Conductors and Cables","Article 800"
"The minimum internal depth of a box that is intended to enclose a flush device supplied by 14 AWG or smaller conductors shall be:","1/2 inch","9/16 inch","15/16 inch","1-1/4 inch","15/16 inch","Raceways and Boxes","Article 314"
"The maximum height that kitchen counter-top receptacles may be installed above the counter-top shall be:","12 inches","18 inches","20 inches","22 inches","20 inches","Special Equipment","Article 210"
